Index,Title,Full Address,Neighborhood,District,Latitude,Longitude,Street,Bedrooms,Bathrooms,Parking,Floor Area,Land Area,Price
83,"Entry Level Value, Desirable Neighbourhood","2/4 Redfern Terrace, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-44.984196,168.674057,2/4 Redfern Terrace,4.0,2.0,2.0,167.2,625.0,none
84,Well established home,"56 Corriedale Road, Hanley's Farm, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.065078,168.751976,56 Corriedale Road,3.0,2.0,2.0,151.2,524.0,1249000.0
85,Wake up to Mountain Views & Birdsong,"12A Windsor Place, Queenstown Hill, Queenstown-Lakes",Queenstown Hill,Queenstown-Lakes,-45.030218,168.675816,12A Windsor Place,3.0,2.0,3.0,130.2,0.0,1265000.0
86,Opportunity in Shotover,"21A-B George Drive, Lower Shotover, Queenstown-Lakes",Lower Shotover,Queenstown-Lakes,-45.005613,168.781409,21A-B George Drive,5.0,3.0,0.0,182.2,456.0,none
87,Stunning House & Land Package in Hanley’s Farm,"Hanley’s Farm, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.063971,168.752689,Hanley’s Farm,4.0,2.0,4.0,198.2,400.0,1284000.0
88,Sophisticated downtown living,"1, 3 and 5, 20 Suburb Street, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.028675,168.662897,1,2.0,2.0,0.0,104.2,0.0,1290000.0
89,Price adjustment for quick sale!,"30B Harrys Close, Arthurs Point, Queenstown-Lakes",Arthurs Point,Queenstown-Lakes,-44.982747,168.678236,30B Harrys Close,4.0,3.0,1.0,187.2,697.0,1295000.0
90,Price Reduced - Lake Front Living,"704/34 Lake Esplanade, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-4.503506,168.653025,704/34 Lake Esplanade,2.0,2.0,1.0,103.2,0.0,1295000.0
91,HOME AND INCOME - BRAND NEW AND READY SOON,"Shepherd Road, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.063507,168.748195,Shepherd Road,4.0,4.0,1.0,165.2,443.0,1299000.0
92,"Fully furnished, fantastic views","41 Middleton Road, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-45.018721,168.707424,41 Middleton Road,3.0,2.0,0.0,109.2,0.0,none
